avg_km_day,בנזין,דיזל,חשמל
0.0,0.005176214301413076,0.0009107468123861565,0.005272407732864675
2.319,0.007559486871194197,0.0016588602654176424,0.008347978910369069
4.638,0.010156886320443703,0.00234192037470726,0.011599297012302284
6.957,0.015030252491952062,0.0037123774828692864,0.014059753954305799
9.276,0.020240080673311872,0.005507849770144852,0.019332161687170477
11.596,0.02522980258309739,0.007494145199063232,0.02460456942003515
13.915,0.029881123220726835,0.009463093069650447,0.02741652021089631
16.234,0.03388860877322266,0.011969815248503773,0.032688927943760986
18.553,0.03715238723189698,0.014355104519038948,0.04077328646748682
20.872,0.03960167552263119,0.01723479920201232,0.04288224956063269
23.191,0.0410580615134003,0.02022725301413826,0.046397188049209136
25.51,0.041797890082612574,0.02310694769711163,0.05272407732864674
27.829,0.04172710700849397,0.025318761384335153,0.05202108963093146
30.148,0.041124966062909676,0.02725301413826004,0.051318101933216176
32.468,0.040110731877593765,0.028397952988116926,0.05448154657293497
34.787,0.03888123957646512,0.029456154046317982,0.0530755711775044
37.106,0.0372939533801342,0.030375574637869718,0.04780316344463972
39.425,0.03566982120001551,0.030878653829473503,0.04499121265377856
41.744,0.03403017492145988,0.03097406540029491,0.041827768014059755
44.063,0.032247023232362414,0.03130366900858704,0.036555360281195076
46.382,0.03066652445409766,0.03126030011275913,0.03233743409490334
48.701,0.029149051700733043,0.030817937375314425,0.03022847100175747
51.02,0.027511344684482027,0.030132708821233412,0.027768014059753952
53.34,0.02582418647946321,0.03019342527539249,0.024604569420035152
55.659,0.02419908466819222,0.029464827825483562,0.020035149384885764
57.978,0.022550711709265793,0.02859744990892532,0.018980667838312832
60.297,0.020897490594577822,0.02773874577153266,0.015817223198594025
62.616,0.019428499398828687,0.02704484343828606,0.014059753954305799
64.935,0.018074894310204398,0.02537080405932865,0.01265377855887522
67.254,0.016747469262692473,0.024130453638650358,0.011599297012302286
69.573,0.015422953108637474,0.02335848729291352,0.011247803163444639
71.892,0.01429236318504441,0.022317633793043627,0.009490333919156414
74.212,0.013100686498855835,0.02142423453898864,0.008435852372583479
76.531,0.01200015514098437,0.02103391447653743,0.007029876977152899
78.85,0.010914168250397548,0.019958365860005205,0.007381370826010545
81.169,0.009886359228949308,0.01873536299765808,0.00492091388400703
83.488,0.008797463444905559,0.017616445485297942,0.0045694200351493845
85.807,0.00787437458790676,0.01654089686876572,0.0035149384885764497
88.126,0.007092851879145173,0.015361262902246509,0.0028119507908611597
90.445,0.006324904006515922,0.01451990632318501,0.0014059753954305798
92.764,0.005656828142574564,0.013661202185792351,0.0014059753954305798
95.083,0.005135166582631966,0.012828519385896436,0.0014059753954305798
97.403,0.00466780436721871,0.011917772573510278,0.0014059753954305798
99.722,0.004120932397316061,0.011076415994448781,0.0007029876977152899
102.041,0.003650661288445875,0.010235059415387285,0.0014059753954305798
104.36,0.0032540821471512237,0.009359007719663456,0.0014059753954305798
106.679,0.0028759259977504557,0.008630410269754533,0.0017574692442882249
108.998,0.0025258891517666677,0.008136004857316333,0.0017574692442882249
111.317,0.002246635379901485,0.007502818978228814,0.00210896309314587
113.636,0.0020381646821549084,0.00717321536993668,0.0017574692442882249
115.955,0.0018170887794283052,0.006696157515829647,0.0014059753954305798
118.275,0.0016377070162510179,0.006193078324225865,0.001054481546572935
120.594,0.001492262343404569,0.0056726515742909185,0.0007029876977152899
122.913,0.0013361517278827136,0.00539509064099228,0.00035149384885764496
125.232,0.0011674359073808325,0.004918032786885246,0.0
127.551,0.0010229608656866927,0.004440974932778212,0.00035149384885764496
129.87,0.0008939999224295078,0.003885853066180935,0.0007029876977152899
132.189,0.000787340495675445,0.003391447653742736,0.0007029876977152899
134.508,0.000712678896947601,0.0030791916037817674,0.0007029876977152899
136.827,0.0006564402901136408,0.0028103044496487124,0.0007029876977152899
139.147,0.0006002016832796803,0.002454679503859832,0.00035149384885764496
141.466,0.0005236008222472171,0.002185792349726776,0.0
143.785,0.0004605747973470892,0.0021337496747332813,0.0
146.104,0.00039657914129465153,0.001778124728944401,0.0
148.423,0.00034518869022223946,0.00156128024980484,0.0
150.742,0.000303494550672924,0.001439847341486686,0.0
153.061,0.00026664856688515695,0.0014571948998178506,0.0
155.38,0.0002511344684482023,0.0012403504206782896,0.0
157.699,0.00022980258309738977,0.001110243733194553,0.0
160.019,0.00020653143544195791,0.0009280943707173216,0.0
162.338,0.0001716247139588101,0.0007893139040680024,0.0
164.657,0.00015417135321723615,0.000719923670743343,0.0
166.976,0.00012799131210487533,0.0006592072165842657,0.0
169.295,0.0001056897956017531,0.0006071645415907711,0.0
171.614,8.920606601248884e-05,0.0005811432040940237,0.0
173.933,8.144901679401156e-05,0.0005811432040940237,0.0
176.252,7.757049218477292e-05,0.0005204267499349467,0.0
178.571,5.8177869138579685e-05,0.00043368895827912223,0.0
180.891,5.7208237986270026e-05,0.00037297250412004514,0.0
183.21,5.332971337703138e-05,0.000312256049960968,0.0
185.529,4.6542295310863744e-05,0.00024286581663630845,0.0
187.848,4.072450839700578e-05,0.00021684447913956112,0.0
190.167,3.8785246092386455e-05,0.00020817069997397866,0.0
192.486,3.0058565721599502e-05,0.00019082314164281376,0.0
194.805,3.0058565721599502e-05,0.0001734755833116489,0.0
197.124,2.714967226467052e-05,0.00015612802498048402,0.0
199.443,2.9088934569289843e-05,0.00013010668748373666,0.0
201.763,2.9088934569289843e-05,0.00012143290831815421,0.0
204.082,2.4240778807741535e-05,0.00012143290831815422,0.0
206.401,2.133188535081255e-05,0.00013010668748373666,0.0
208.72,1.9392623046193227e-05,0.00012143290831815421,0.0
211.039,1.4544467284644921e-05,0.00010408534998698933,0.0
213.358,1.357483613233526e-05,9.541157082140689e-05,0.0
215.677,1.2605204980025599e-05,7.8064012490242e-05,0.0
217.996,1.357483613233526e-05,6.939023332465955e-05,0.0
220.315,1.2605204980025599e-05,7.8064012490242e-05,0.0
222.635,1.4544467284644921e-05,6.0716454159077105e-05,0.0
224.954,1.357483613233526e-05,4.336889582791222e-05,0.0
227.273,1.357483613233526e-05,4.336889582791222e-05,0.0
229.592,1.2605204980025597e-05,3.469511666232978e-05,0.0
231.911,1.357483613233526e-05,1.7347558331164886e-05,0.0
234.23,9.696311523096614e-06,3.469511666232977e-05,0.0
236.549,7.757049218477291e-06,3.469511666232977e-05,0.0
238.868,7.757049218477291e-06,3.469511666232977e-05,0.0
241.187,6.787418066167628e-06,2.6021337496747333e-05,0.0
243.506,6.78741806616763e-06,4.3368895827912226e-05,0.0
245.826,6.787418066167628e-06,2.6021337496747333e-05,0.0
248.145,8.726680370786952e-06,2.6021337496747333e-05,0.0
252.783,7.757049218477291e-06,2.6021337496747333e-05,0.0
255.102,8.726680370786952e-06,2.6021337496747333e-05,0.0
257.421,7.757049218477293e-06,1.7347558331164886e-05,0.0
259.74,6.78741806616763e-06,1.7347558331164886e-05,0.0
264.378,3.8785246092386465e-06,1.7347558331164886e-05,0.0
266.698,3.8785246092386465e-06,1.7347558331164886e-05,0.0
269.017,2.908893456928984e-06,1.7347558331164886e-05,0.0
273.655,4.848155761548307e-06,8.673779165582443e-06,0.0
275.974,6.78741806616763e-06,8.673779165582443e-06,0.0
278.293,8.726680370786952e-06,8.673779165582443e-06,0.0
282.931,9.696311523096614e-06,1.7347558331164886e-05,0.0
285.25,9.696311523096614e-06,1.7347558331164886e-05,0.0
287.57,9.696311523096614e-06,1.7347558331164886e-05,0.0
289.889,8.726680370786952e-06,1.7347558331164886e-05,0.0
292.208,1.0665942675406275e-05,8.673779165582443e-06,0.0
299.165,9.696311523096614e-06,0.0,0.0
301.484,9.696311523096614e-06,8.673779165582443e-06,0.0
303.803,7.757049218477293e-06,1.7347558331164886e-05,0.0
306.122,5.817786913857969e-06,2.6021337496747333e-05,0.0
308.442,2.908893456928984e-06,2.6021337496747333e-05,0.0
310.761,3.878524609238646e-06,2.6021337496747333e-05,0.0
313.08,4.848155761548307e-06,1.734755833116489e-05,0.0
317.718,5.817786913857969e-06,8.673779165582443e-06,0.0
320.037,7.757049218477291e-06,0.0,0.0
322.356,7.757049218477291e-06,0.0,0.0
324.675,9.696311523096614e-06,0.0,0.0
326.994,1.1635573827715936e-05,8.673779165582443e-06,0.0
329.314,2.133188535081255e-05,4.336889582791222e-05,0.0
331.633,3.6845983787767136e-05,7.8064012490242e-05,0.0
333.952,5.8177869138579685e-05,9.541157082140688e-05,0.0
336.271,7.854012333708258e-05,0.00011275912915257177,0.0
338.59,9.01756971647985e-05,0.00011275912915257177,0.0
340.909,8.532754140325021e-05,9.541157082140688e-05,0.0
343.228,7.175270527091495e-05,6.0716454159077105e-05,0.0
345.547,5.0420819920102396e-05,4.336889582791222e-05,0.0
347.866,2.714967226467052e-05,2.6021337496747333e-05,0.0
350.186,1.2605204980025599e-05,1.734755833116489e-05,0.0
354.824,7.757049218477293e-06,0.0,0.0
357.143,4.848155761548307e-06,0.0,0.0
384.972,4.848155761548307e-06,0.0,0.0
412.801,4.848155761548307e-06,8.673779165582443e-06,0.0
426.716,4.848155761548307e-06,8.673779165582443e-06,0.00035149384885764496
435.993,4.848155761548307e-06,8.673779165582443e-06,0.00035149384885764496
442.95,4.848155761548307e-06,2.6021337496747333e-05,0.00035149384885764496
445.269,4.848155761548307e-06,2.6021337496747333e-05,0.00035149384885764496
449.907,6.78741806616763e-06,2.6021337496747333e-05,0.00035149384885764496
452.226,8.726680370786952e-06,2.6021337496747333e-05,0.0
454.545,8.726680370786952e-06,2.6021337496747333e-05,0.0
456.865,8.726680370786952e-06,8.673779165582441e-06,0.0
459.184,9.696311523096615e-06,1.0842223956978051e-05,0.0
461.503,8.080259602580513e-06,0.0,0.0
